"","year","vehicle_category","accident_count","fatality_count","text1","text2"
"1",2009,"4WD",23581,78,"x: 2009
y: 4WD
Value: 23581","x: 2009
y: 4WD
Value: 78"
"2",2009,"Bicycle",2486,224,"x: 2009
y: Bicycle
Value: 2486","x: 2009
y: Bicycle
Value: 224"
"3",2009,"Bus",9380,31,"x: 2009
y: Bus
Value: 9380","x: 2009
y: Bus
Value: 31"
"4",2009,"Car",472307,1405,"x: 2009
y: Car
Value: 472307","x: 2009
y: Car
Value: 1405"
"5",2009,"Lorry",46724,213,"x: 2009
y: Lorry
Value: 46724","x: 2009
y: Lorry
Value: 213"
"6",2009,"Motorcycle",113962,4067,"x: 2009
y: Motorcycle
Value: 113962","x: 2009
y: Motorcycle
Value: 4067"
"7",2009,"Others",17963,636,"x: 2009
y: Others
Value: 17963","x: 2009
y: Others
Value: 636"
"8",2009,"Van",19220,91,"x: 2009
y: Van
Value: 19220","x: 2009
y: Van
Value: 91"
"9",2010,"4WD",25777,154,"x: 2010
y: 4WD
Value: 25777","x: 2010
y: 4WD
Value: 154"
"10",2010,"Bicycle",2178,192,"x: 2010
y: Bicycle
Value: 2178","x: 2010
y: Bicycle
Value: 192"
"11",2010,"Bus",9580,77,"x: 2010
y: Bus
Value: 9580","x: 2010
y: Bus
Value: 77"
"12",2010,"Car",511861,1421,"x: 2010
y: Car
Value: 511861","x: 2010
y: Car
Value: 1421"
"13",2010,"Lorry",50438,202,"x: 2010
y: Lorry
Value: 50438","x: 2010
y: Lorry
Value: 202"
"14",2010,"Motorcycle",120156,4036,"x: 2010
y: Motorcycle
Value: 120156","x: 2010
y: Motorcycle
Value: 4036"
"15",2010,"Others",21655,693,"x: 2010
y: Others
Value: 21655","x: 2010
y: Others
Value: 693"
"16",2010,"Van",18788,97,"x: 2010
y: Van
Value: 18788","x: 2010
y: Van
Value: 97"
"17",2011,"4WD",30828,151,"x: 2011
y: 4WD
Value: 30828","x: 2011
y: 4WD
Value: 151"
"18",2011,"Bicycle",2033,172,"x: 2011
y: Bicycle
Value: 2033","x: 2011
y: Bicycle
Value: 172"
"19",2011,"Bus",9986,29,"x: 2011
y: Bus
Value: 9986","x: 2011
y: Bus
Value: 29"
"20",2011,"Car",546702,1389,"x: 2011
y: Car
Value: 546702","x: 2011
y: Car
Value: 1389"
"21",2011,"Lorry",53078,247,"x: 2011
y: Lorry
Value: 53078","x: 2011
y: Lorry
Value: 247"
"22",2011,"Motorcycle",129017,4169,"x: 2011
y: Motorcycle
Value: 129017","x: 2011
y: Motorcycle
Value: 4169"
"23",2011,"Others",27591,627,"x: 2011
y: Others
Value: 27591","x: 2011
y: Others
Value: 627"
"24",2011,"Van",17916,93,"x: 2011
y: Van
Value: 17916","x: 2011
y: Van
Value: 93"
"25",2012,"4WD",32891,159,"x: 2012
y: 4WD
Value: 32891","x: 2012
y: 4WD
Value: 159"
"26",2012,"Bicycle",1310,156,"x: 2012
y: Bicycle
Value: 1310","x: 2012
y: Bicycle
Value: 156"
"27",2012,"Bus",10617,32,"x: 2012
y: Bus
Value: 10617","x: 2012
y: Bus
Value: 32"
