"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"21:37hrs Kemalangan kereta Km 431.3 arah Utara dari Sungai Buaya ke Bukit Beruntung. Tiada lorong terhalang. Trafik… https://t.co/gS7AxvnqMs",FALSE,2,NA,2019-11-07 13:37:12,TRUE,NA,"1192435838019235840",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"21:16hrs Awas! Lori rosak Km 258.5 arah Selatan dari Kuala Kangsar ke Terowong Menora. Lorong kiri ditutup. Trafik… https://t.co/6HwGQL4D5b",FALSE,2,NA,2019-11-07 13:16:33,TRUE,NA,"1192430638114263040",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"21:02hrs Kerja penyelenggaraan Km 247.2 - Km 246.0 arah Selatan dari Senawang ke Pedas Linggi. Lorong kiri ditutup.… https://t.co/4xnKzQ2QFM",FALSE,0,NA,2019-11-07 13:02:37,TRUE,NA,"1192427135115247617",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"20:59hrs Status terkini, lorong kiri masih ditutup. Trafik perlahan 3Km &amp; cuaca hujan. Patuhi arahan papan tanda.… https://t.co/n0oZVh41Ml",FALSE,1,NA,2019-11-07 13:01:17,TRUE,NA,"1192426799558356992",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"19:46hrs Status terkini, lorong kanan dibuka &amp; kenderaan telah dialihkan ke lorong kecemasan. Trafik perlahan.Harap… https://t.co/DnAWVH2YWi",FALSE,0,NA,2019-11-07 11:46:50,TRUE,NA,"1192408061136244736",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"19:33hrs Kemalangan kereta di persimpangan Changkat Jering dari arah Kuala Kangsar ke Changkat Jering. Lorong kiri… https://t.co/VOSHyb9gjP",FALSE,3,NA,2019-11-07 11:33:15,TRUE,NA,"1192404641708822529",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"19:31hrs Kemalangan kereta di NKVE km 12.5 arah Utara dari Shah Alam ke Subang. Lorong kanan terhalang. Trafik perl… https://t.co/616DOBgoco",FALSE,0,NA,2019-11-07 11:31:45,TRUE,NA,"1192404264754114560",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"19:19hrs Kemalangan motorsikal Km 458.5 arah Utara dari Bukit Lanjan ke Sungai Buloh. Tiada lorong terhalang. Trafi… https://t.co/GseWVTdggS",FALSE,1,NA,2019-11-07 11:19:52,TRUE,NA,"1192401273556893696",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"19:18hrs Trafik masih perlahan di sepanjang Jambatan P. Pinang dari arah Pulau ke Perai. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,1,NA,2019-11-07 11:18:42,FALSE,NA,"1192400980454699008",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"19:17hrs Trafik perlahan di ELITE dari Putra Heights menuju ke USJ. Aliran trafik masih tinggi. Harap maklum. @LLMinfotrafik",FALSE,0,NA,2019-11-07 11:18:01,FALSE,NA,"1192400809620910081",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"19:16hrs Trafik masih perlahan dari Subang menuju ke Dataran Prima. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,1,NA,2019-11-07 11:17:05,FALSE,NA,"1192400574374789121",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"19:15hrs Trafik perlahan di NKVE dari Kota Damansara menuju ke Shah Alam. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,1,NA,2019-11-07 11:16:12,FALSE,NA,"1192400351451701248",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"17:51hrs Awas! Treler rosak di lorong masuk Tol Skudai.Trafik terkawal.pandu berhati-hati. @LLMinfotrafik",FALSE,2,NA,2019-11-07 09:57:12,FALSE,NA,"1192380471696482304",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"17:46hrs Awas! Maklumat awal lori rosak di lorong kiri Km 195 arah Selatan dari Bukit Merah ke Taiping (U). Pandu b… https://t.co/Cuq6UjnmKn",FALSE,3,NA,2019-11-07 09:47:26,TRUE,NA,"1192378016011186177",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",3,FALSE,FALSE,NA,NA
"17:43hrs Trafik perlahan di ELITE arah Utara dari Seafield ke Shah Alam. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,3,NA,2019-11-07 09:43:43,FALSE,NA,"1192377079981051904",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"17:42hrs Trafik perlahan di NKVE dari Damansara ke Shah Alam. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,2,NA,2019-11-07 09:42:40,FALSE,NA,"1192376813084790785",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
